F1,Danceability,Energy,Loudness,Liveness,Valence,Views,Likes,Stream
212,0.575,0.236,-16.982,0.105,0.829,282465,4533,115786722
213,0.487,0.382,-10.889,0.411,0.714,7484414,84407,355940570
214,0.66,0.748,-11.206,0.283,0.972,3649438,17369,217996516
215,0.358,0.387,-14.342,0.119,0.495,12982178,152547,126445901
216,0.325,0.715,-7.744,0.0987,0.282,43935538,374007,19601041
217,0.623,0.537,-10.014,0.0963,0.905,242588704,1868278,362889100
219,0.481,0.733,-7.633,0.108,0.874,14332854,370274,107417556
220,0.916,0.844,-3.967,0.0778,0.586,585712131,4363164,375955728
221,0.801,0.91,-6.566,0.0737,0.805,89682,1301,578493150
222,0.763,0.85,-3.052,0.371,0.761,84654029,484619,497213287
223,0.872,0.723,-5.968,0.327,0.843,14035099,64269,428728611
224,0.874,0.63,-3.585,0.0582,0.717,1276815,24831,213745248
225,0.865,0.665,-6.289,0.224,0.331,306542,4350,411056377
226,0.773,0.54,-7.123,0.131,0.322,381061439,3225481,243928109
227,0.598,0.732,-7.013,0.508,0.595,5434057,58781,211103197
228,0.849,0.904,-4.78,0.0545,0.854,18949722,251281,178709066
229,0.795,0.852,-2.238,0.39,0.673,1002891,13416,117899041
230,0.762,0.861,-3.296,0.264,0.955,48725891,2843117,172373567
231,0.553,0.652,-6.685,0.111,0.551,726601997,5635352,1138123751
232,0.888,0.632,-3.872,0.101,0.662,242845147,1854617,466458137
233,0.723,0.732,-5.514,0.484,0.503,14272788,175218,248359900
234,0.718,0.768,-7.87,0.0957,0.591,70515275,2308329,46192225
235,0.813,0.732,-5.636,0.0826,0.731,237582702,1010443,222949118
236,0.907,0.695,-6.268,0.0808,0.961,202432469,1231331,202521145
237,0.861,0.48,-8.433,0.351,0.278,31364,373,82111629
238,0.755,0.531,-8.051,0.13,0.683,84170696,1245805,124225906
240,0.669,0.634,-6.476,0.0946,0.496,475532733,2941752,433564491
241,0.502,0.786,-4.378,0.65,0.739,788318126,6142541,1004661276
242,0.328,0.622,-7.291,0.104,0.401,764982505,4833883,417139141
243,0.457,0.906,-2.278,0.182,0.54,351589402,2019702,461843097
244,0.364,0.752,-5.429,0.318,0.606,180051134,1119672,404959319
245,0.832,0.43,-9.39,0.124,0.462,524707468,2641825,387665450
246,0.663,0.688,-8.659,0.223,0.731,11856519,192622,432215037
247,0.443,0.623,-6.717,0.247,0.156,7163,256,205327632
248,0.742,0.617,-6.689,0.0711,0.491,19671055,273280,62736773
249,0.376,0.841,-4.348,0.578,0.463,46104250,370102,238468772
250,0.716,0.512,-6.257,0.0928,0.326,215540369,4266217,644668215
251,0.468,0.779,-4.839,0.101,0.26,151276432,1964768,731776557
252,0.399,0.787,-2.88,0.0685,0.572,2581536372,12476394,1404231856
253,0.259,0.437,-6.589,0.106,0.0951,1953769806,14149628,1378235205
254,0.628,0.698,-5.608,0.0907,0.732,1788225602,8821956,1538447140
255,0.603,0.615,-4.931,0.117,0.561,331492365,3990442,411692294
256,0.421,0.791,-4.998,0.146,0.499,1261263786,5191365,733035056
257,0.678,0.744,-4.058,0.0631,0.433,1298279,32710,34819346
258,0.759,0.636,-5.585,0.166,0.536,106746356,988318,300286185
259,0.547,0.814,-6.191,0.0475,0.724,50685969,494298,191151662
260,0.828,0.492,-9.744,0.128,0.789,41698012,476988,1145814659
261,0.545,0.67,-8.81,0.0451,0.481,63168341,618971,800258505
262,0.73,0.487,-10.991,0.0852,0.731,53248522,342799,615384523
263,0.583,0.947,-5.12,0.0679,0.803,5109177,44832,732367244
264,0.414,0.161,-22.32,0.117,0.423,76081765,451100,512338633
265,0.671,0.71,-7.724,0.0387,0.834,5410145,42737,252302426
266,0.64,0.649,-10.345,0.0551,0.865,49292398,385402,298619427
267,0.723,0.49,-14.745,0.0923,0.795,8490005,61004,302893047
268,0.622,0.54,-13.99,0.265,0.847,81512369,436530,213673856
269,0.654,0.336,-12.825,0.0786,0.947,2246595,23628,189357854
270,0.543,0.87,-6.514,0.792,0.754,679721429,3253260,877774503
271,0.749,0.491,-9.655,0.159,0.536,361288115,3156029,519184335
272,0.749,0.748,-7.011,0.469,0.827,272724820,1324658,375576936
273,0.719,0.922,-6.091,0.0867,0.964,7540645,51162,135342126
274,0.454,0.788,-6.748,0.0859,0.52,115380254,512491,295039369
275,0.684,0.675,-8.123,0.242,0.924,142034489,512716,250065301
276,0.678,0.727,-7.844,0.354,0.71,2968673,39389,252601051
277,0.445,0.949,-4.682,0.0902,0.653,77339439,368779,222521002
278,0.5,0.554,-8.108,0.312,0.372,219881780,1203620,210743145
279,0.764,0.626,-8.274,0.201,0.961,90572907,375323,208513838
280,0.652,0.259,-13.336,0.362,0.836,13683856,144902,471405587
281,0.262,0.137,-15.235,0.267,0.288,6422826,94812,126469786
282,0.512,0.339,-13.119,0.0977,0.951,15255986,286935,177473609
283,0.401,0.381,-7.458,0.122,0.229,40356494,323576,329370178
284,0.257,0.338,-12.902,0.252,0.544,420791,5476,182673374
285,0.646,0.204,-11.957,0.312,0.688,1679701,23726,88041370
286,0.668,0.26,-14.256,0.0621,0.368,135669950,1746670,506872698
287,0.259,0.473,-8.275,0.201,0.539,14266051,131664,143712745
288,0.56,0.434,-14.151,0.346,0.664,45558716,271523,212972149
289,0.252,0.118,-17.62,0.117,0.14,43026,932,42053170
290,0.696,0.793,-5.733,0.18,0.698,12850997,137385,107996524
291,0.754,0.763,-4.627,0.0901,0.464,124255684,980422,547871739
292,0.77,0.787,-3.748,0.262,0.513,329901294,2401650,481307838
293,0.534,0.855,-4.923,0.346,0.42,2192535,28849,18374300
294,0.798,0.62,-7.079,0.112,0.235,236818708,1836947,980693352
295,0.748,0.841,-5.08,0.0413,0.717,5891427,96134,117679131
296,0.66,0.942,-2.273,0.834,0.543,2099152,61252,27908495
297,0.79,0.764,-4.685,0.132,0.473,2182357,31412,38610617
298,0.652,0.855,-6.411,0.341,0.0834,2087256,32315,32419330
299,0.747,0.833,-2.867,0.0586,0.687,52275235,520812,782756255
300,0.795,0.8,-6.32,0.0915,0.934,396909270,2532714,1357658479
301,0.504,0.904,-6.863,0.14,0.772,170453554,1658219,649281620
302,0.658,0.783,-4.615,0.187,0.491,15181510,165237,190102352
303,0.601,0.532,-9.119,0.0925,0.341,129299713,960562,828968108
304,0.554,0.315,-11.028,0.101,0.325,1591571,22237,654292280
305,0.729,0.844,-8.824,0.0604,0.777,87086359,638960,562468940
306,0.414,0.428,-11.097,0.148,0.282,155579484,650110,606925181
307,0.526,0.925,-5.584,0.305,0.819,19096844,47486,236457156
308,0.559,0.473,-7.712,0.154,0.397,17035966,209965,242563343
309,0.594,0.935,-2.018,0.102,0.602,57457813,809894,133344222
310,0.789,0.858,-5.542,0.349,0.775,374189685,2521768,1054470731
311,0.491,0.956,-1.538,0.46,0.811,95231588,833985,678424384
312,0.687,0.793,-4.254,0.582,0.751,47752493,219401,778880225
313,0.632,0.924,-1.802,0.263,0.441,17001975,138161,296375103
314,0.654,0.75,-7.509,0.167,0.557,106953199,826069,293182456
315,0.261,0.852,-4.965,0.477,0.431,25189646,272421,73726722
316,0.759,0.678,-5.148,0.15,0.327,22824654,278099,115228530
317,0.754,0.631,-4.751,0.5,0.432,224971063,1192658,170592836
318,0.74,0.574,-6.938,0.262,0.33,681129,6477,128273029
319,0.73,0.576,-5.442,0.15,0.155,7101653,51843,114490460
320,0.715,0.62,-6.005,0.0822,0.172,17011354,325993,279832635
321,0.561,0.52,-9.342,0.355,0.424,3926832,54749,311694937
322,0.529,0.673,-4.711,0.093,0.366,12454143,461647,413205085
323,0.671,0.658,-5.567,0.147,0.257,5384334,96598,81603704
324,0.749,0.63,-6.652,0.353,0.445,24885008,487517,119787835
325,0.847,0.733,-6.439,0.151,0.202,24885008,487517,182739405
326,0.841,0.358,-8.368,0.39,0.329,213119,3427,100595022
327,0.908,0.546,-10.491,0.0707,0.225,7706203,102385,107919519
328,0.773,0.701,-6.386,0.163,0.203,1111996,8576,87618118
329,0.849,0.424,-9.579,0.0834,0.153,74244853,796542,501420741
330,0.367,0.665,-2.821,0.113,0.31,105206228,1105989,578115634
331,0.79,0.647,-5.983,0.248,0.654,200458945,1310078,720756420
332,0.639,0.628,-7.578,0.386,0.43,123256878,959510,543286408
333,0.789,0.858,-5.542,0.349,0.775,374189685,2521768,1054470731
334,0.724,0.573,-4.113,0.538,0.438,47207589,587832,627167330
335,0.617,0.717,-7.858,0.408,0.49,432609094,2878369,1123296395
336,0.542,0.466,-8.665,0.125,0.124,13652003,161439,302891517
337,0.669,0.419,-6.724,0.187,0.0397,343239,10149,335460654
338,0.667,0.747,-7.059,0.115,0.918,101552405,540229,379099876
339,0.629,0.696,-5.572,0.0554,0.623,323806093,1797312,853381478
340,0.78,0.877,-3.683,0.0627,0.909,562212517,2366696,473691093
341,0.374,0.727,-4.352,0.134,0.283,157325196,604843,392257514
342,0.641,0.593,-7.884,0.169,0.437,1006758,13068,303652374
343,0.631,0.683,-8.788,0.0994,0.708,130543675,344687,229810217
344,0.54,0.367,-14.238,0.0433,0.252,375491,4708,268107480
345,0.401,0.499,-7.643,0.149,0.262,117161559,372824,235730264
346,0.542,0.665,-8.121,0.177,0.417,47486131,183468,189533009
347,0.389,0.443,-8.546,0.114,0.0888,140665690,411448,172275945
348,0.389,0.71,-6.265,0.918,0.666,207911622,556658,106123325
349,0.663,0.579,-6.982,0.189,0.48,9656892,62146,127896578
350,0.78,0.689,-5.668,0.0698,0.642,8893257,135456,354986175
351,0.646,0.77,-6.596,0.0715,0.681,669084413,3218858,836260550
352,0.545,0.641,-6.398,0.171,0.464,15896207,226588,116409094
353,0.693,0.887,-5.039,0.27,0.864,1230431,15962,276384322
354,0.508,0.72,-5.908,0.0563,0.472,1357273902,6931695,1257746758
355,0.652,0.749,-5.248,0.604,0.651,514532529,2260106,524847088
356,0.903,0.519,-9.151,0.155,0.587,5840552,72908,71933137
357,0.587,0.299,-7.365,0.123,0.356,231580933,1998224,739180747
358,0.583,0.621,-6.902,0.181,0.399,687031207,2906283,520085958
359,0.732,0.899,-4.237,0.372,0.759,554929045,2987341,480726300
360,0.872,0.681,-4.348,0.129,0.481,9058435,227824,42618413
361,0.744,0.868,-4.524,0.0822,0.586,10845,118,664205050
362,0.852,0.797,-6.543,0.0845,0.741,23852149,380311,536817412
363,0.812,0.855,-3.725,0.108,0.573,87084154,884924,295869713
364,0.819,0.741,-6.538,0.283,0.84,1559861,20775,315104207
365,0.655,0.797,-4.787,0.067,0.839,8079646911,50788626,1506598267
366,0.737,0.86,-2.652,0.0574,0.656,2626439287,13036596,1170562263
367,0.77,0.804,-5.479,0.193,0.568,39763039,135919,203988701
368,0.703,0.909,-4.456,0.162,0.777,3647171,32718,197998077
369,0.76,0.9,-4.782,0.221,0.761,864990,10360,201700378
370,0.733,0.685,-6.228,0.333,0.837,904204,11866,49105411
371,0.652,0.631,-5.718,0.165,0.35,284033349,3473758,682479132
372,0.629,0.692,-8.045,0.603,0.453,78483083,1082398,560791223
373,0.8,0.658,-6.142,0.111,0.462,188678850,2671691,1142825569
374,0.662,0.515,-6.867,0.163,0.386,8818478,127447,15859788
375,0.747,0.497,-6.542,0.138,0.0663,24139842,343353,171091255
376,0.81,0.655,-6.779,0.105,0.809,30608215,567407,92010224
377,0.747,0.494,-7.957,0.0982,0.624,31440593,542757,141369736
378,0.56,0.707,-6.863,0.108,0.341,19221097,390046,77395440
379,0.594,0.679,-3.702,0.114,0.66,712131,13233,50148408
380,0.724,0.443,-3.743,0.101,0.763,166098054,1014895,266678074
381,0.871,0.815,-4.439,0.094,0.823,20886,365,192312139
382,0.719,0.753,-4.891,0.212,0.675,902197206,3044369,665804353
383,0.69,0.58,-4.395,0.328,0.708,15736532,152209,31400753
384,0.754,0.778,-6.663,0.131,0.916,171403894,3018400,205577936
385,0.578,0.634,-5.979,0.132,0.216,129179970,897239,290126900
386,0.483,0.492,-6.591,0.323,0.66,174663952,1630182,268237254
387,0.589,0.642,-5.706,0.119,0.691,6825015,112136,13702635
388,0.591,0.785,-7.768,0.126,0.785,24706293,557112,89466323
389,0.721,0.637,-5.134,0.0525,0.691,794818462,4767981,530878132
390,0.658,0.783,-4.615,0.187,0.491,15181510,165238,190102352
391,0.774,0.838,-3.914,0.242,0.924,593978662,3931975,893129259
392,0.788,0.844,-3.131,0.0723,0.382,294678986,1776186,424168867
393,0.759,0.699,-5.745,0.443,0.907,790774922,4595411,588819207
394,0.751,0.834,-5.444,0.355,0.894,398575571,2519778,581869840
395,0.669,0.843,-3.766,0.195,0.702,1189091,7582,260444233
396,0.724,0.695,-5.226,0.0889,0.235,355445991,1489871,423188557
397,0.791,0.733,-5.215,0.0713,0.761,215417979,1012974,262573012
398,0.696,0.734,-5.294,0.183,0.711,200917975,2725163,187278764
399,0.717,0.587,-7.296,0.0523,0.544,127036180,802449,145511234
400,0.762,0.766,-3.955,0.128,0.442,518925108,4581525,1174282383
401,0.813,0.56,-5.904,0.268,0.287,986386304,3786939,628424773
402,0.817,0.672,-5.612,0.13,0.774,1202913849,3283909,396374422
403,0.879,0.703,-4.219,0.0569,0.788,567182812,2193036,569523901
