F1,Url_spotify,Track,Url_youtube,Title,Views,Likes,Stream
98,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,RITMO (Bad Boys For Life),https://www.youtube.com/watch?v=EzKkl64rRbM,"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",1021503328,6398855,869795408
99,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,SIMPLY THE BEST,https://www.youtube.com/watch?v=AbNOhZ1rsG8,"Black Eyed Peas, Anitta, El Alfa - SIMPLY THE BEST (Official Music Video)",43226385,242932,18501860
100,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Billie Jean,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,Michael Jackson - Billie Jean (Official Video),1300732161,9523245,1302677366
101,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Chicago,https://www.youtube.com/watch?v=xaYSqjvZjTs,Michael Jackson - Chicago,545655,7314,103974637
102,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Beat It,https://www.youtube.com/watch?v=oRdxUFDoQe0,Michael Jackson - Beat It (Official 4K Video),905692299,6656468,826832314
103,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Smooth Criminal - 2012 Remaster,https://www.youtube.com/watch?v=q8w1d01Y2vY,Michael Jackson - Smooth Criminal (Single Version) HD,84652754,672624,526030670
104,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Rock with You - Single Version,https://www.youtube.com/watch?v=5X-Mrc2l1d0,Michael Jackson - Rock With You (Official Video),301845823,2269865,346137424
105,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Don't Stop 'Til You Get Enough,https://www.youtube.com/watch?v=yURRmWtbTbo,Michael Jackson - Don’t Stop 'Til You Get Enough (Official Video),349102050,2254295,389644450
106,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,They Don't Care About Us,https://www.youtube.com/watch?v=QNJL6nfu__Q,Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video),978680025,8312571,256361972
107,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Remember the Time,https://www.youtube.com/watch?v=LeiFF0gvqcc,Michael Jackson - Remember The Time (Official Video),504057332,3085718,224254298
108,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,The Way You Make Me Feel - 2012 Remaster,https://www.youtube.com/watch?v=HzZ_urpj4As,Michael Jackson - The Way You Make Me Feel (Official Video),436325398,2515830,349629692
109,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Love Never Felt So Good,https://www.youtube.com/watch?v=oG08ukJPtR8,"Michael Jackson, Justin Timberlake - Love Never Felt So Good (Official Video)",343328494,2121502,280500270
110,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Just Give Me a Reason (feat. Nate Ruess),https://www.youtube.com/watch?v=OpQFFLBMEPI,P!nk - Just Give Me A Reason ft. Nate Ruess,1518313784,6420621,995490565
111,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Never Gonna Not Dance Again,https://www.youtube.com/watch?v=iqYK79jCssA,P!NK - Never Gonna Not Dance Again (Official Video),10941241,216805,34361626
112,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Raise Your Glass,https://www.youtube.com/watch?v=XjVNlG5cZyQ,P!nk - Raise Your Glass (Official Video),237232986,1026177,502735560
113,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Try,https://www.youtube.com/watch?v=yTCDVfMz15M,P!nk - Try (Official Video),534286492,2554163,476783121
