F1,Artist,Url_spotify,Track,Url_youtube,Views,official_video,Spotify_Available,Stream
90,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,I Gotta Feeling,https://www.youtube.com/watch?v=uSD4vsh1zDA,638267058,True,1,1001227038
91,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,DON'T YOU WORRY,https://www.youtube.com/watch?v=me19SUmWu2s,144690551,True,1,162685755
92,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Where Is The Love?,https://www.youtube.com/watch?v=WpYeekQkAdc,888076529,True,1,752091441
93,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Just Can’t Get Enough,https://www.youtube.com/watch?v=OrTyD7rjBpw,292211575,True,1,331578264
94,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,GIRL LIKE ME,https://www.youtube.com/watch?v=vMLk_T0PPbk,662529115,True,1,453923193
95,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Pump It,https://www.youtube.com/watch?v=ZaI2IlHwmgQ,755836314,True,1,492130246
96,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Pump It Louder,https://www.youtube.com/watch?v=H7qR7xvKFEU,2099141,True,1,27908495
97,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Meet Me Halfway,https://www.youtube.com/watch?v=I7HahVwYpwo,458724349,True,1,363930118
98,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,RITMO (Bad Boys For Life),https://www.youtube.com/watch?v=EzKkl64rRbM,1021503328,True,1,869795408
99,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,SIMPLY THE BEST,https://www.youtube.com/watch?v=AbNOhZ1rsG8,43226385,True,1,18501860
100,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Billie Jean,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,1300732161,True,1,1302677366
101,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Chicago,https://www.youtube.com/watch?v=xaYSqjvZjTs,545655,False,1,103974637
102,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Beat It,https://www.youtube.com/watch?v=oRdxUFDoQe0,905692299,True,1,826832314
103,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Smooth Criminal - 2012 Remaster,https://www.youtube.com/watch?v=q8w1d01Y2vY,84652754,False,1,526030670
104,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Rock with You - Single Version,https://www.youtube.com/watch?v=5X-Mrc2l1d0,301845823,True,1,346137424
105,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Don't Stop 'Til You Get Enough,https://www.youtube.com/watch?v=yURRmWtbTbo,349102050,True,1,389644450
106,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,They Don't Care About Us,https://www.youtube.com/watch?v=QNJL6nfu__Q,978680025,True,1,256361972
107,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Remember the Time,https://www.youtube.com/watch?v=LeiFF0gvqcc,504057332,True,1,224254298
108,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,The Way You Make Me Feel - 2012 Remaster,https://www.youtube.com/watch?v=HzZ_urpj4As,436325398,True,1,349629692
109,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Love Never Felt So Good,https://www.youtube.com/watch?v=oG08ukJPtR8,343328494,True,1,280500270
110,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Just Give Me a Reason (feat. Nate Ruess),https://www.youtube.com/watch?v=OpQFFLBMEPI,1518313784,True,1,995490565
111,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Never Gonna Not Dance Again,https://www.youtube.com/watch?v=iqYK79jCssA,10941241,True,1,34361626
112,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Raise Your Glass,https://www.youtube.com/watch?v=XjVNlG5cZyQ,237232986,True,1,502735560
113,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Try,https://www.youtube.com/watch?v=yTCDVfMz15M,534286492,True,1,476783121
114,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,So What,https://www.youtube.com/watch?v=FJfFZqTlWrQ,432775314,True,1,471672024
115,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,What About Us,https://www.youtube.com/watch?v=ClU3fctbGls,339837769,True,1,662431775
116,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Cover Me In Sunshine,https://www.youtube.com/watch?v=vGZhMIXH62M,80575503,True,1,346097538
117,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,TRUSTFALL,https://www.youtube.com/watch?v=D2KE2a5qo0g,3309247,True,1,2790105
118,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Who Knew,https://www.youtube.com/watch?v=NJWIbIe0N90,168736063,True,1,219363750
119,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,True Love (feat. Lily Allen),https://www.youtube.com/watch?v=zsmUOdmm02A,149977268,True,1,170002964
120,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Mockingbird,https://www.youtube.com/watch?v=S9bCLPwzSC0,719661717,True,1,908006704
121,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Without Me,https://www.youtube.com/watch?v=YVkUvmDQ3HY,1590485349,True,1,1457351902
122,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,The Real Slim Shady,https://www.youtube.com/watch?v=eJO5HU_7_1w,777507160,True,1,1232567233
123,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Superman,https://www.youtube.com/watch?v=8kYkciD9VjU,139257221,True,1,466021760
124,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Till I Collapse,https://www.youtube.com/watch?v=3m_QN8P93IA,1931315,False,1,1548871694
125,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Stan,https://www.youtube.com/watch?v=gOMhN-hfMtY,623027280,True,1,799979337
126,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Love The Way You Lie,https://www.youtube.com/watch?v=uelHwf8o7_U,2539156924,True,1,1115478746
127,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Godzilla (feat. Juice WRLD),https://www.youtube.com/watch?v=r_0JjYUe5jo,547039623,False,1,1072650382
128,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Sing For The Moment,https://www.youtube.com/watch?v=D4hAVemuQXY,454015875,True,1,357737050
129,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Not Afraid,https://www.youtube.com/watch?v=j5-yKhDd64s,1727241246,True,1,789922926
130,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,"Happy - From ""Despicable Me 2""",https://www.youtube.com/watch?v=C7dPqrmDWxs,128396799,True,1,1143833476
131,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Down In Atlanta,https://www.youtube.com/watch?v=t_Jhj-gBYCs,3658044,True,1,42006396
132,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",https://www.youtube.com/watch?v=ozv4q2ov3Mk,673495248,True,1,981287133
133,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Cash In Cash Out,https://www.youtube.com/watch?v=cKEwnhc8ItY,20392451,True,1,104603335
134,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",https://www.youtube.com/watch?v=eMQuofsOOzo,26641550,True,1,99934776
135,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Hit Different,https://www.youtube.com/watch?v=qJlMkMtK7-8,121559320,True,1,198332490
136,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Neon Guts (feat. Pharrell Williams),https://www.youtube.com/watch?v=nTOj3UQhkLA,35793144,True,1,219355874
137,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),https://www.youtube.com/watch?v=icoOOiSlKK0,11408003,True,1,99577335
138,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Just A Cloud Away,https://www.youtube.com/watch?v=reYRmpiVSyA,2672481,True,1,105629259
